Unnamed: 0,M,N,K,model_type,regularization_type,knot_density_max,knot_density_end,test_loss_end,train_loss_end,test_accuracy_end,noise_std,path
0,24,32,4,ISTA,,125.78468322753906,117.30192565917967,0.0740136951208114,0.073562778532505,19.921875,0.25,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/4_8_24/4_8_24_n=0.25_e6e7/parameters.csv
1,24,32,4,LISTA,,161.6885986328125,161.6885986328125,0.1148323491215705,0.0931283310055732,0.0,0.25,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/4_8_24/4_8_24_n=0.25_e6e7/parameters.csv
2,24,32,4,ISTA,,129.09432983398438,121.3954849243164,0.0694364681839943,0.0718991234898567,22.4609375,0.25,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/4_8_24/4_8_24_n=0.25_e6e7/parameters.csv
3,24,32,4,LISTA,,164.96218872070312,164.96218872070312,0.112401507794857,0.0917854458093643,0.0,0.25,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/4_8_24/4_8_24_n=0.25_e6e7/parameters.csv
4,24,32,4,ISTA,,122.2574234008789,121.9219207763672,0.0738136619329452,0.0737098976969719,21.875,0.25,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/4_8_24/4_8_24_n=0.25_e6e7/parameters.csv
5,24,32,4,LISTA,,168.20584106445312,168.20584106445312,0.1156888902187347,0.0883666574954986,0.0,0.25,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/4_8_24/4_8_24_n=0.25_e6e7/parameters.csv
0,24,32,4,ISTA,,931.5362548828124,931.5362548828124,0.0081826457753777,0.008251248858869,0.0,0.025,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/4_8_24/4_8_24_n=0.025_9c82/parameters.csv
1,24,32,4,LISTA,,154.21676635742188,154.21676635742188,0.0035991081967949,0.0020851164590567,42.3828125,0.025,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/4_8_24/4_8_24_n=0.025_9c82/parameters.csv
2,24,32,4,ISTA,,921.8200073242188,921.8200073242188,0.0082222279161214,0.0080881947651505,0.0,0.025,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/4_8_24/4_8_24_n=0.025_9c82/parameters.csv
3,24,32,4,LISTA,,176.3528594970703,176.3528594970703,0.0035322739277035,0.0020882403478026,41.9921875,0.025,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/4_8_24/4_8_24_n=0.025_9c82/parameters.csv
4,24,32,4,ISTA,,936.6624755859376,936.6624755859376,0.0082591967657208,0.0083168866112828,0.0,0.025,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/4_8_24/4_8_24_n=0.025_9c82/parameters.csv
5,24,32,4,LISTA,,169.68153381347656,169.68153381347656,0.0038793324492871,0.0021888040937483,39.6484375,0.025,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/4_8_24/4_8_24_n=0.025_9c82/parameters.csv
0,24,32,4,ISTA,,931.5362548828124,931.5362548828124,0.0028157860506325,0.0027504006866365,80.859375,0.0,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/4_8_24/4_8_24_n=0_f313/parameters.csv
1,24,32,4,LISTA,,134.49249267578125,134.49249267578125,0.0029030472505837,0.0011474604252725,81.640625,0.0,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/4_8_24/4_8_24_n=0_f313/parameters.csv
2,24,32,4,ISTA,,935.6213989257812,935.6213989257812,0.0025909293908625,0.0026178145781159,80.95703125,0.0,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/4_8_24/4_8_24_n=0_f313/parameters.csv
3,24,32,4,LISTA,,146.4096221923828,146.4096221923828,0.0023782346397638,0.0011213776888325,85.44921875,0.0,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/4_8_24/4_8_24_n=0_f313/parameters.csv
4,24,32,4,ISTA,,927.3468017578124,927.3468017578124,0.0028007240034639,0.0029214667156338,74.8046875,0.0,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/4_8_24/4_8_24_n=0_f313/parameters.csv
5,24,32,4,LISTA,,133.5294647216797,133.5294647216797,0.0030833708588033,0.0013424488715827,80.46875,0.0,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/4_8_24/4_8_24_n=0_f313/parameters.csv
0,24,32,4,ISTA,,931.5362548828124,931.5362548828124,0.0230407360941171,0.0233097188174724,0.0,0.05,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/4_8_24/4_8_24_n=0.05_ba17/parameters.csv
1,24,32,4,LISTA,,156.18934631347656,156.18934631347656,0.0093061383813619,0.0065799136646091,1.66015625,0.05,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/4_8_24/4_8_24_n=0.05_ba17/parameters.csv
2,24,32,4,ISTA,,930.2579345703124,930.2579345703124,0.0229276698082685,0.0230206828564405,0.0,0.05,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/4_8_24/4_8_24_n=0.05_ba17/parameters.csv
3,24,32,4,LISTA,,176.21932983398438,176.21932983398438,0.0091754710301756,0.0067227305844426,2.34375,0.05,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/4_8_24/4_8_24_n=0.05_ba17/parameters.csv
4,24,32,4,ISTA,,931.7275390625,931.7275390625,0.0227217320352792,0.0222824942320585,0.0,0.05,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/4_8_24/4_8_24_n=0.05_ba17/parameters.csv
5,24,32,4,LISTA,,173.17044067382812,173.17044067382812,0.0089024733752012,0.0067165968939661,1.953125,0.05,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/4_8_24/4_8_24_n=0.05_ba17/parameters.csv
0,24,32,4,ISTA,,125.78468322753906,117.30192565917967,0.1214768886566162,0.1217202320694923,0.29296875,0.5,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/4_8_24/4_8_24_n=0.5_12b9/parameters.csv
1,24,32,4,LISTA,,134.6837921142578,134.6837921142578,0.1842276453971862,0.1606273651123047,0.0,0.5,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/4_8_24/4_8_24_n=0.5_12b9/parameters.csv
2,24,32,4,ISTA,,129.62094116210938,122.5921630859375,0.1175536513328552,0.1194465309381485,0.09765625,0.5,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/4_8_24/4_8_24_n=0.5_12b9/parameters.csv
3,24,32,4,LISTA,,149.31735229492188,149.31735229492188,0.1824503540992736,0.1595519036054611,0.0,0.5,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/4_8_24/4_8_24_n=0.5_12b9/parameters.csv
4,24,32,4,ISTA,,129.9449920654297,120.79466247558594,0.1176479160785675,0.12163657695055,0.390625,0.5,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/4_8_24/4_8_24_n=0.5_12b9/parameters.csv
5,24,32,4,LISTA,,134.0330047607422,134.0330047607422,0.1817564666271209,0.1593878269195556,0.0,0.5,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/4_8_24/4_8_24_n=0.5_12b9/parameters.csv
0,24,32,4,ISTA,,931.5362548828124,931.5362548828124,0.0033709038980305,0.0033215198200196,20.99609375,0.01,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/4_8_24/4_8_24_n=0.01_a3b9/parameters.csv
1,24,32,4,LISTA,,153.1566619873047,153.1566619873047,0.0024449629709124,0.0010985913686454,89.16015625,0.01,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/4_8_24/4_8_24_n=0.01_a3b9/parameters.csv
2,24,32,4,ISTA,,924.15869140625,924.15869140625,0.0032252094242721,0.0032666018232703,23.14453125,0.01,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/4_8_24/4_8_24_n=0.01_a3b9/parameters.csv
3,24,32,4,LISTA,,185.90316772460935,185.90316772460935,0.0022816124837845,0.0011657307622954,92.578125,0.01,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/4_8_24/4_8_24_n=0.01_a3b9/parameters.csv
4,24,32,4,ISTA,,934.8450927734376,934.8450927734376,0.0033204308710992,0.00304088415578,20.21484375,0.01,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/4_8_24/4_8_24_n=0.01_a3b9/parameters.csv
5,24,32,4,LISTA,,165.0121612548828,165.0121612548828,0.0023008265998214,0.0010546607663854,90.234375,0.01,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/4_8_24/4_8_24_n=0.01_a3b9/parameters.csv
0,24,32,4,ISTA,,931.5362548828124,931.5362548828124,0.0646601840853691,0.0651157721877098,0.0,0.1,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/4_8_24/4_8_24_n=0.1_9ad4/parameters.csv
1,24,32,4,LISTA,,164.02720642089844,164.02720642089844,0.0279449597001075,0.0213674008846282,0.0,0.1,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/4_8_24/4_8_24_n=0.1_9ad4/parameters.csv
2,24,32,4,ISTA,,927.9773559570312,927.9773559570312,0.0650412738323211,0.0652478709816932,0.0,0.1,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/4_8_24/4_8_24_n=0.1_9ad4/parameters.csv
3,24,32,4,LISTA,,171.00485229492188,171.00485229492188,0.0270607303828001,0.0214017033576965,0.0,0.1,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/4_8_24/4_8_24_n=0.1_9ad4/parameters.csv
4,24,32,4,ISTA,,939.8028564453124,939.8028564453124,0.0652953535318374,0.0659409910440445,0.0,0.1,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/4_8_24/4_8_24_n=0.1_9ad4/parameters.csv
5,24,32,4,LISTA,,166.62234497070312,166.62234497070312,0.0290405116975307,0.0224033091217279,0.0,0.1,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/4_8_24/4_8_24_n=0.1_9ad4/parameters.csv
0,24,32,4,ISTA,,931.5362548828124,931.5362548828124,0.0423826202750206,0.0428196713328361,0.0,0.075,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/4_8_24/4_8_24_n=0.075_f35c/parameters.csv
1,24,32,4,LISTA,,159.11654663085938,159.11654663085938,0.0180064309388399,0.0134472409263253,0.390625,0.075,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/4_8_24/4_8_24_n=0.075_f35c/parameters.csv
2,24,32,4,ISTA,,922.8590087890624,922.8590087890624,0.0424381531774997,0.0417876169085502,0.0,0.075,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/4_8_24/4_8_24_n=0.075_f35c/parameters.csv
3,24,32,4,LISTA,,168.5556182861328,168.5556182861328,0.0185750443488359,0.0143436100333929,0.0,0.075,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/4_8_24/4_8_24_n=0.075_f35c/parameters.csv
4,24,32,4,ISTA,,936.5402221679688,936.5402221679688,0.0410334020853042,0.0421786867082119,0.0,0.075,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/4_8_24/4_8_24_n=0.075_f35c/parameters.csv
5,24,32,4,LISTA,,179.582763671875,179.582763671875,0.0179324690252542,0.0141314063221216,0.0,0.075,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/4_8_24/4_8_24_n=0.075_f35c/parameters.csv
